comparison,layer,character,left_width,right_width,mismatched_cells,cells,exact
fldigi-real-vs-xfhell-real,trimmed-glyph,/,5,5,0,55,True
fldigi-7x7-vs-radiolib,transmitted-cell,A,7,7,4,98,False
fldigi-7x7-vs-radiolib,trimmed-glyph,A,5,5,4,50,False
fldigi-7x7-vs-radiolib,transmitted-cell,B,7,7,2,98,False
fldigi-7x7-vs-radiolib,trimmed-glyph,B,5,5,2,50,False
fldigi-7x7-vs-radiolib,transmitted-cell,C,7,7,4,98,False
fldigi-7x7-vs-radiolib,trimmed-glyph,C,5,5,4,50,False
fldigi-7x7-vs-radiolib,transmitted-cell,D,7,7,12,98,False
fldigi-7x7-vs-radiolib,trimmed-glyph,D,5,5,12,50,False
fldigi-7x7-vs-radiolib,transmitted-cell,E,7,7,2,98,False
fldigi-7x7-vs-radiolib,trimmed-glyph,E,5,5,2,50,False
fldigi-7x7-vs-radiolib,transmitted-cell,F,7,7,2,98,False
fldigi-7x7-vs-radiolib,trimmed-glyph,F,5,5,2,50,False
fldigi-7x7-vs-radiolib,transmitted-cell,G,7,7,6,98,False
fldigi-7x7-vs-radiolib,trimmed-glyph,G,5,5,6,50,False
fldigi-7x7-vs-radiolib,transmitted-cell,H,7,7,0,98,True
fldigi-7x7-vs-radiolib,trimmed-glyph,H,5,5,0,50,True
fldigi-7x7-vs-radiolib,transmitted-cell,I,5,7,20,98,False
fldigi-7x7-vs-radiolib,trimmed-glyph,I,3,3,0,30,True
fldigi-7x7-vs-radiolib,transmitted-cell,J,7,7,26,98,False
fldigi-7x7-vs-radiolib,trimmed-glyph,J,5,4,26,50,False
fldigi-7x7-vs-radiolib,transmitted-cell,K,7,7,18,98,False
fldigi-7x7-vs-radiolib,trimmed-glyph,K,5,4,18,50,False
fldigi-7x7-vs-radiolib,transmitted-cell,L,7,7,2,98,False
fldigi-7x7-vs-radiolib,trimmed-glyph,L,5,4,2,50,False
fldigi-7x7-vs-radiolib,transmitted-cell,M,7,7,0,98,True
fldigi-7x7-vs-radiolib,trimmed-glyph,M,5,5,0,50,True
fldigi-7x7-vs-radiolib,transmitted-cell,N,7,7,0,98,True
fldigi-7x7-vs-radiolib,trimmed-glyph,N,5,5,0,50,True
fldigi-7x7-vs-radiolib,transmitted-cell,O,7,7,0,98,True
fldigi-7x7-vs-radiolib,trimmed-glyph,O,5,5,0,50,True
fldigi-7x7-vs-radiolib,transmitted-cell,P,7,7,4,98,False
fldigi-7x7-vs-radiolib,trimmed-glyph,P,5,5,4,50,False
fldigi-7x7-vs-radiolib,transmitted-cell,Q,7,7,14,98,False
fldigi-7x7-vs-radiolib,trimmed-glyph,Q,5,5,30,60,False
fldigi-7x7-vs-radiolib,transmitted-cell,R,7,7,4,98,False
fldigi-7x7-vs-radiolib,trimmed-glyph,R,5,5,4,50,False
fldigi-7x7-vs-radiolib,transmitted-cell,S,7,7,8,98,False
fldigi-7x7-vs-radiolib,trimmed-glyph,S,5,5,8,50,False
fldigi-7x7-vs-radiolib,transmitted-cell,T,7,7,0,98,True
fldigi-7x7-vs-radiolib,trimmed-glyph,T,5,5,0,50,True
fldigi-7x7-vs-radiolib,transmitted-cell,U,7,7,4,98,False
fldigi-7x7-vs-radiolib,trimmed-glyph,U,5,5,4,50,False
fldigi-7x7-vs-radiolib,transmitted-cell,V,7,7,20,98,False
fldigi-7x7-vs-radiolib,trimmed-glyph,V,5,5,20,50,False
fldigi-7x7-vs-radiolib,transmitted-cell,W,7,7,14,98,False
fldigi-7x7-vs-radiolib,trimmed-glyph,W,5,5,14,50,False
fldigi-7x7-vs-radiolib,transmitted-cell,X,7,7,0,98,True
fldigi-7x7-vs-radiolib,trimmed-glyph,X,5,5,0,50,True
fldigi-7x7-vs-radiolib,transmitted-cell,Y,7,7,0,98,True
fldigi-7x7-vs-radiolib,trimmed-glyph,Y,5,5,0,50,True
fldigi-7x7-vs-radiolib,transmitted-cell,Z,7,7,0,98,True
fldigi-7x7-vs-radiolib,trimmed-glyph,Z,5,5,0,50,True
fldigi-7x7-vs-radiolib,transmitted-cell,0,7,7,0,98,True
fldigi-7x7-vs-radiolib,trimmed-glyph,0,5,5,0,50,True
fldigi-7x7-vs-radiolib,transmitted-cell,1,5,7,2,98,False
fldigi-7x7-vs-radiolib,trimmed-glyph,1,3,2,22,30,False
fldigi-7x7-vs-radiolib,transmitted-cell,2,7,7,6,98,False
fldigi-7x7-vs-radiolib,trimmed-glyph,2,5,4,6,50,False
fldigi-7x7-vs-radiolib,transmitted-cell,3,7,7,10,98,False
fldigi-7x7-vs-radiolib,trimmed-glyph,3,5,4,10,50,False
fldigi-7x7-vs-radiolib,transmitted-cell,4,7,7,2,98,False
fldigi-7x7-vs-radiolib,trimmed-glyph,4,5,4,2,50,False
fldigi-7x7-vs-radiolib,transmitted-cell,5,7,7,8,98,False
fldigi-7x7-vs-radiolib,trimmed-glyph,5,5,4,8,50,False
fldigi-7x7-vs-radiolib,transmitted-cell,6,7,7,8,98,False
fldigi-7x7-vs-radiolib,trimmed-glyph,6,5,4,8,50,False
fldigi-7x7-vs-radiolib,transmitted-cell,7,7,7,18,98,False
fldigi-7x7-vs-radiolib,trimmed-glyph,7,5,4,18,50,False
fldigi-7x7-vs-radiolib,transmitted-cell,8,7,7,14,98,False
fldigi-7x7-vs-radiolib,trimmed-glyph,8,5,4,14,50,False
fldigi-7x7-vs-radiolib,transmitted-cell,9,7,7,16,98,False
fldigi-7x7-vs-radiolib,trimmed-glyph,9,5,4,16,50,False
fldigi-7x7-vs-radiolib,transmitted-cell,+,7,7,4,98,False
fldigi-7x7-vs-radiolib,trimmed-glyph,+,5,5,20,50,False
fldigi-7x7-vs-radiolib,transmitted-cell,-,7,7,0,98,True
fldigi-7x7-vs-radiolib,trimmed-glyph,-,5,5,0,10,True
fldigi-7x7-vs-radiolib,transmitted-cell,?,6,7,4,98,False
fldigi-7x7-vs-radiolib,trimmed-glyph,?,4,3,12,40,False
fldigi-7x7-vs-radiolib,transmitted-cell,/,7,7,0,98,True
fldigi-7x7-vs-radiolib,trimmed-glyph,/,5,5,0,50,True
fldigi-real-vs-historical-drum,transmitted-cell,A,7,7,0,98,True
fldigi-real-vs-historical-drum,trimmed-glyph,A,5,5,0,50,True
fldigi-real-vs-historical-drum,transmitted-cell,B,7,7,0,98,True
fldigi-real-vs-historical-drum,trimmed-glyph,B,5,5,0,50,True
fldigi-real-vs-historical-drum,transmitted-cell,C,7,7,0,98,True
fldigi-real-vs-historical-drum,trimmed-glyph,C,5,5,0,50,True
fldigi-real-vs-historical-drum,transmitted-cell,D,7,7,0,98,True
fldigi-real-vs-historical-drum,trimmed-glyph,D,5,5,0,50,True
fldigi-real-vs-historical-drum,transmitted-cell,E,7,7,0,98,True
fldigi-real-vs-historical-drum,trimmed-glyph,E,5,5,0,50,True
fldigi-real-vs-historical-drum,transmitted-cell,F,7,7,0,98,True
fldigi-real-vs-historical-drum,trimmed-glyph,F,5,5,0,50,True
fldigi-real-vs-historical-drum,transmitted-cell,G,7,7,0,98,True
fldigi-real-vs-historical-drum,trimmed-glyph,G,5,5,0,50,True
fldigi-real-vs-historical-drum,transmitted-cell,H,7,7,0,98,True
fldigi-real-vs-historical-drum,trimmed-glyph,H,5,5,0,50,True
fldigi-real-vs-historical-drum,transmitted-cell,I,3,7,20,98,False
fldigi-real-vs-historical-drum,trimmed-glyph,I,1,1,0,10,True
fldigi-real-vs-historical-drum,transmitted-cell,J,7,7,0,98,True
fldigi-real-vs-historical-drum,trimmed-glyph,J,5,5,0,50,True
fldigi-real-vs-historical-drum,transmitted-cell,K,7,7,1,98,False
fldigi-real-vs-historical-drum,trimmed-glyph,K,5,5,1,50,False
fldigi-real-vs-historical-drum,transmitted-cell,L,7,7,0,98,True
fldigi-real-vs-historical-drum,trimmed-glyph,L,5,5,0,50,True
fldigi-real-vs-historical-drum,transmitted-cell,M,7,7,0,98,True
fldigi-real-vs-historical-drum,trimmed-glyph,M,5,5,0,50,True
fldigi-real-vs-historical-drum,transmitted-cell,N,7,7,0,98,True
fldigi-real-vs-historical-drum,trimmed-glyph,N,5,5,0,50,True
fldigi-real-vs-historical-drum,transmitted-cell,O,7,7,0,98,True
fldigi-real-vs-historical-drum,trimmed-glyph,O,5,5,0,50,True
fldigi-real-vs-historical-drum,transmitted-cell,P,7,7,2,98,False
fldigi-real-vs-historical-drum,trimmed-glyph,P,5,5,2,50,False
fldigi-real-vs-historical-drum,transmitted-cell,Q,7,7,6,98,False
fldigi-real-vs-historical-drum,trimmed-glyph,Q,5,5,6,60,False
fldigi-real-vs-historical-drum,transmitted-cell,R,7,7,0,98,True
fldigi-real-vs-historical-drum,trimmed-glyph,R,5,5,0,50,True
fldigi-real-vs-historical-drum,transmitted-cell,S,7,7,0,98,True
fldigi-real-vs-historical-drum,trimmed-glyph,S,5,5,0,50,True
fldigi-real-vs-historical-drum,transmitted-cell,T,7,7,0,98,True
fldigi-real-vs-historical-drum,trimmed-glyph,T,5,5,0,50,True
fldigi-real-vs-historical-drum,transmitted-cell,U,7,7,2,98,False
fldigi-real-vs-historical-drum,trimmed-glyph,U,5,5,2,50,False
fldigi-real-vs-historical-drum,transmitted-cell,V,7,7,0,98,True
fldigi-real-vs-historical-drum,trimmed-glyph,V,5,5,0,50,True
fldigi-real-vs-historical-drum,transmitted-cell,W,7,7,0,98,True
fldigi-real-vs-historical-drum,trimmed-glyph,W,5,5,0,50,True
fldigi-real-vs-historical-drum,transmitted-cell,X,7,7,0,98,True
fldigi-real-vs-historical-drum,trimmed-glyph,X,5,5,0,50,True
fldigi-real-vs-historical-drum,transmitted-cell,Y,7,7,0,98,True
fldigi-real-vs-historical-drum,trimmed-glyph,Y,5,5,0,50,True
fldigi-real-vs-historical-drum,transmitted-cell,Z,7,7,0,98,True
fldigi-real-vs-historical-drum,trimmed-glyph,Z,5,5,0,50,True
fldigi-real-vs-historical-drum,transmitted-cell,0,7,7,0,98,True
fldigi-real-vs-historical-drum,trimmed-glyph,0,5,5,0,50,True
fldigi-real-vs-historical-drum,transmitted-cell,1,5,7,22,98,False
fldigi-real-vs-historical-drum,trimmed-glyph,1,3,3,0,30,True
fldigi-real-vs-historical-drum,transmitted-cell,2,7,7,0,98,True
fldigi-real-vs-historical-drum,trimmed-glyph,2,5,5,0,50,True
fldigi-real-vs-historical-drum,transmitted-cell,3,7,7,18,98,False
fldigi-real-vs-historical-drum,trimmed-glyph,3,5,5,0,60,True
fldigi-real-vs-historical-drum,transmitted-cell,4,7,7,0,98,True
fldigi-real-vs-historical-drum,trimmed-glyph,4,5,5,0,55,True
fldigi-real-vs-historical-drum,transmitted-cell,5,7,7,0,98,True
fldigi-real-vs-historical-drum,trimmed-glyph,5,5,5,0,55,True
fldigi-real-vs-historical-drum,transmitted-cell,6,7,7,20,98,False
fldigi-real-vs-historical-drum,trimmed-glyph,6,5,5,0,60,True
fldigi-real-vs-historical-drum,transmitted-cell,7,7,7,16,98,False
fldigi-real-vs-historical-drum,trimmed-glyph,7,5,5,0,55,True
fldigi-real-vs-historical-drum,transmitted-cell,8,7,7,0,98,True
fldigi-real-vs-historical-drum,trimmed-glyph,8,5,5,0,60,True
fldigi-real-vs-historical-drum,transmitted-cell,9,7,7,20,98,False
fldigi-real-vs-historical-drum,trimmed-glyph,9,5,5,0,60,True
fldigi-real-vs-historical-drum,transmitted-cell,+,7,7,0,98,True
fldigi-real-vs-historical-drum,trimmed-glyph,+,5,5,0,40,True
fldigi-real-vs-historical-drum,transmitted-cell,-,7,7,4,98,False
fldigi-real-vs-historical-drum,trimmed-glyph,-,5,3,4,10,False
fldigi-real-vs-historical-drum,transmitted-cell,?,6,7,17,98,False
fldigi-real-vs-historical-drum,trimmed-glyph,?,4,5,23,60,False
fldigi-real-vs-historical-drum,transmitted-cell,/,7,7,10,98,False
fldigi-real-vs-historical-drum,trimmed-glyph,/,5,5,0,55,True
